Staff_group,Reason,SA_rate_pct,Reason_code,Reason_name,Month
Support to ambulance staff,S12 Other musculoskeletal problems,7.9,S12,Other musculoskeletal problems,2023-04
Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,7.9,S13,Cold Cough Flu - Influenza,2023-04
Support to ST&T staff,S25 Gastrointestinal problems,7.9,S25,Gastrointestinal problems,2023-04
"Hotel, property & estates",S25 Gastrointestinal problems,7.9,S25,Gastrointestinal problems,2023-04
Specialty Registrar,S25 Gastrointestinal problems,7.8,S25,Gastrointestinal problems,2023-04
Professionally qualified clinical staff,S12 Other musculoskeletal problems,7.7,S12,Other musculoskeletal problems,2023-04
All staff groups,S25 Gastrointestinal problems,7.7,S25,Gastrointestinal problems,2023-04
Support to ambulance staff,S28 Injury fracture,7.7,S28,Injury fracture,2023-04
Midwives,S98 Other known causes - not elsewhere classified,7.7,S98,Other known causes - not elsewhere classified,2023-04
Midwives,S13 Cold Cough Flu - Influenza,7.6,S13,Cold Cough Flu - Influenza,2023-04
NHS infrastructure support,S13 Cold Cough Flu - Influenza,7.6,S13,Cold Cough Flu - Influenza,2023-04
"Scientific, therapeutic & technical staff",S25 Gastrointestinal problems,7.6,S25,Gastrointestinal problems,2023-04
Central functions,S98 Other known causes - not elsewhere classified,7.6,S98,Other known causes - not elsewhere classified,2023-04
Midwives,S25 Gastrointestinal problems,7.5,S25,Gastrointestinal problems,2023-04
Core Training,S27 Infectious diseases,7.5,S27,Infectious diseases,2023-04
Other and Local HCHS Doctor Grades,S28 Injury fracture,7.5,S28,Injury fracture,2023-04
Associate Specialist,S13 Cold Cough Flu - Influenza,7.4,S13,Cold Cough Flu - Influenza,2023-04
Associate Specialist,S19 Heart cardiac & circulatory problems,7.4,S19,Heart cardiac & circulatory problems,2023-04
Professionally qualified clinical staff,S25 Gastrointestinal problems,7.4,S25,Gastrointestinal problems,2023-04
Nurses & health visitors,S25 Gastrointestinal problems,7.4,S25,Gastrointestinal problems,2023-04
HCHS doctors,S99 Unknown causes / Not specified,7.4,S99,Unknown causes / Not specified,2023-04
Specialty Doctor,S99 Unknown causes / Not specified,7.4,S99,Unknown causes / Not specified,2023-04
Managers,S13 Cold Cough Flu - Influenza,7.3,S13,Cold Cough Flu - Influenza,2023-04
HCHS doctors,S25 Gastrointestinal problems,7.2,S25,Gastrointestinal problems,2023-04
Consultant,S28 Injury fracture,7.2,S28,Injury fracture,2023-04
"Hotel, property & estates",S28 Injury fracture,7.2,S28,Injury fracture,2023-04
NHS infrastructure support,S25 Gastrointestinal problems,7.1,S25,Gastrointestinal problems,2023-04
Foundation Doctor Year 1,S27 Infectious diseases,7.1,S27,Infectious diseases,2023-04
"Scientific, therapeutic & technical staff",S98 Other known causes - not elsewhere classified,7.1,S98,Other known causes - not elsewhere classified,2023-04
NHS infrastructure support,S98 Other known causes - not elsewhere classified,7.1,S98,Other known causes - not elsewhere classified,2023-04
"Hotel, property & estates",S13 Cold Cough Flu - Influenza,7,S13,Cold Cough Flu - Influenza,2023-04
Foundation Doctor Year 2,S27 Infectious diseases,6.9,S27,Infectious diseases,2023-04
Professionally qualified clinical staff,S98 Other known causes - not elsewhere classified,6.9,S98,Other known causes - not elsewhere classified,2023-04
"Scientific, therapeutic & technical staff",S12 Other musculoskeletal problems,6.8,S12,Other musculoskeletal problems,2023-04
Foundation Doctor Year 1,S15 Chest & respiratory problems,6.8,S15,Chest & respiratory problems,2023-04
Central functions,S25 Gastrointestinal problems,6.8,S25,Gastrointestinal problems,2023-04
Foundation Doctor Year 2,S98 Other known causes - not elsewhere classified,6.8,S98,Other known causes - not elsewhere classified,2023-04
Core Training,S99 Unknown causes / Not specified,6.8,S99,Unknown causes / Not specified,2023-04
Consultant,S13 Cold Cough Flu - Influenza,6.7,S13,Cold Cough Flu - Influenza,2023-04
Specialty Registrar,S15 Chest & respiratory problems,6.7,S15,Chest & respiratory problems,2023-04
Other staff or those with unknown classification,S25 Gastrointestinal problems,6.7,S25,Gastrointestinal problems,2023-04
Specialty Registrar,S99 Unknown causes / Not specified,6.7,S99,Unknown causes / Not specified,2023-04
Hospital Practitioner / Clinical Assistant,S11 Back Problems,6.6,S11,Back Problems,2023-04
All staff groups,S98 Other known causes - not elsewhere classified,6.6,S98,Other known causes - not elsewhere classified,2023-04
"Hotel, property & estates",S11 Back Problems,6.5,S11,Back Problems,2023-04
Nurses & health visitors,S98 Other known causes - not elsewhere classified,6.5,S98,Other known causes - not elsewhere classified,2023-04
Specialty Registrar,S27 Infectious diseases,6.4,S27,Infectious diseases,2023-04
Support to ambulance staff,S11 Back Problems,6.3,S11,Back Problems,2023-04
Other and Local HCHS Doctor Grades,S13 Cold Cough Flu - Influenza,6.3,S13,Cold Cough Flu - Influenza,2023-04
"Support to doctors, nurses & midwives",S98 Other known causes - not elsewhere classified,6.3,S98,Other known causes - not elsewhere classified,2023-04
Other staff or those with unknown classification,S30 Pregnancy related disorders,6.2,S30,Pregnancy related disorders,2023-04
Specialty Doctor,S15 Chest & respiratory problems,6.1,S15,Chest & respiratory problems,2023-04
Support to clinical staff,S98 Other known causes - not elsewhere classified,6.1,S98,Other known causes - not elsewhere classified,2023-04
Other staff or those with unknown classification,S99 Unknown causes / Not specified,6.1,S99,Unknown causes / Not specified,2023-04
Consultant,S17 Benign and malignant tumours cancers,6,S17,Benign and malignant tumours cancers,2023-04
Ambulance staff,S27 Infectious diseases,6,S27,Infectious diseases,2023-04
Support to ST&T staff,S98 Other known causes - not elsewhere classified,6,S98,Other known causes - not elsewhere classified,2023-04
Central functions,S12 Other musculoskeletal problems,5.9,S12,Other musculoskeletal problems,2023-04
Associate Specialist,S17 Benign and malignant tumours cancers,5.9,S17,Benign and malignant tumours cancers,2023-04
HCHS doctors,S27 Infectious diseases,5.9,S27,Infectious diseases,2023-04
Consultant,S12 Other musculoskeletal problems,5.8,S12,Other musculoskeletal problems,2023-04
Senior managers,S13 Cold Cough Flu - Influenza,5.8,S13,Cold Cough Flu - Influenza,2023-04
Core Training,S15 Chest & respiratory problems,5.8,S15,Chest & respiratory problems,2023-04
"Hotel, property & estates",S98 Other known causes - not elsewhere classified,5.8,S98,Other known causes - not elsewhere classified,2023-04
"Scientific, therapeutic & technical staff",S27 Infectious diseases,5.7,S27,Infectious diseases,2023-04
Foundation Doctor Year 1,S16 Headache / migraine,5.6,S16,Headache / migraine,2023-04
HCHS doctors,S28 Injury fracture,5.6,S28,Injury fracture,2023-04
Nurses & health visitors,S15 Chest & respiratory problems,5.5,S15,Chest & respiratory problems,2023-04
Ambulance staff,S15 Chest & respiratory problems,5.5,S15,Chest & respiratory problems,2023-04
"Scientific, therapeutic & technical staff",S15 Chest & respiratory problems,5.5,S15,Chest & respiratory problems,2023-04
Support to ambulance staff,S15 Chest & respiratory problems,5.5,S15,Chest & respiratory problems,2023-04
Managers,S17 Benign and malignant tumours cancers,5.5,S17,Benign and malignant tumours cancers,2023-04
Staff Grade,S25 Gastrointestinal problems,5.5,S25,Gastrointestinal problems,2023-04
Core Training,S28 Injury fracture,5.5,S28,Injury fracture,2023-04
Nurses & health visitors,S30 Pregnancy related disorders,5.5,S30,Pregnancy related disorders,2023-04
Professionally qualified clinical staff,S15 Chest & respiratory problems,5.4,S15,Chest & respiratory problems,2023-04
HCHS doctors,S15 Chest & respiratory problems,5.4,S15,Chest & respiratory problems,2023-04
"Support to doctors, nurses & midwives",S15 Chest & respiratory problems,5.4,S15,Chest & respiratory problems,2023-04
"Hotel, property & estates",S15 Chest & respiratory problems,5.4,S15,Chest & respiratory problems,2023-04
Senior managers,S15 Chest & respiratory problems,5.4,S15,Chest & respiratory problems,2023-04
Ambulance staff,S13 Cold Cough Flu - Influenza,5.3,S13,Cold Cough Flu - Influenza,2023-04
All staff groups,S15 Chest & respiratory problems,5.3,S15,Chest & respiratory problems,2023-04
Support to clinical staff,S15 Chest & respiratory problems,5.3,S15,Chest & respiratory problems,2023-04
Foundation Doctor Year 2,S16 Headache / migraine,5.3,S16,Headache / migraine,2023-04
Other and Local HCHS Doctor Grades,S25 Gastrointestinal problems,5.3,S25,Gastrointestinal problems,2023-04
Professionally qualified clinical staff,S27 Infectious diseases,5.3,S27,Infectious diseases,2023-04
Support to clinical staff,S28 Injury fracture,5.3,S28,Injury fracture,2023-04
Senior managers,S12 Other musculoskeletal problems,5.2,S12,Other musculoskeletal problems,2023-04
Consultant,S27 Infectious diseases,5.2,S27,Infectious diseases,2023-04
Nurses & health visitors,S27 Infectious diseases,5.2,S27,Infectious diseases,2023-04
Support to ST&T staff,S15 Chest & respiratory problems,5.1,S15,Chest & respiratory problems,2023-04
Midwives,S26 Genitourinary & gynaecological disorders,5.1,S26,Genitourinary & gynaecological disorders,2023-04
Support to ambulance staff,S27 Infectious diseases,5.1,S27,Infectious diseases,2023-04
"Support to doctors, nurses & midwives",S28 Injury fracture,5.1,S28,Injury fracture,2023-04
Associate Specialist,S11 Back Problems,5,S11,Back Problems,2023-04
NHS infrastructure support,S15 Chest & respiratory problems,5,S15,Chest & respiratory problems,2023-04
Hospital Practitioner / Clinical Assistant,S16 Headache / migraine,5,S16,Headache / migraine,2023-04
Managers,S25 Gastrointestinal problems,5,S25,Gastrointestinal problems,2023-04
Support to ST&T staff,S27 Infectious diseases,5,S27,Infectious diseases,2023-04
NHS infrastructure support,S28 Injury fracture,5,S28,Injury fracture,2023-04
Ambulance staff,S98 Other known causes - not elsewhere classified,5,S98,Other known causes - not elsewhere classified,2023-04
Support to ambulance staff,S13 Cold Cough Flu - Influenza,4.9,S13,Cold Cough Flu - Influenza,2023-04
Midwives,S15 Chest & respiratory problems,4.9,S15,Chest & respiratory problems,2023-04
Senior managers,S25 Gastrointestinal problems,4.9,S25,Gastrointestinal problems,2023-04
All staff groups,S28 Injury fracture,4.9,S28,Injury fracture,2023-04
Foundation Doctor Year 2,S28 Injury fracture,4.9,S28,Injury fracture,2023-04
Support to ST&T staff,S28 Injury fracture,4.9,S28,Injury fracture,2023-04
HCHS doctors,S12 Other musculoskeletal problems,4.8,S12,Other musculoskeletal problems,2023-04
Managers,S12 Other musculoskeletal problems,4.8,S12,Other musculoskeletal problems,2023-04
Central functions,S15 Chest & respiratory problems,4.8,S15,Chest & respiratory problems,2023-04
Specialty Registrar,S28 Injury fracture,4.8,S28,Injury fracture,2023-04
All staff groups,S27 Infectious diseases,4.7,S27,Infectious diseases,2023-04
Midwives,S30 Pregnancy related disorders,4.7,S30,Pregnancy related disorders,2023-04
Support to ambulance staff,S98 Other known causes - not elsewhere classified,4.7,S98,Other known causes - not elsewhere classified,2023-04
Specialty Doctor,S11 Back Problems,4.6,S11,Back Problems,2023-04
Support to clinical staff,S11 Back Problems,4.6,S11,Back Problems,2023-04
"Support to doctors, nurses & midwives",S11 Back Problems,4.6,S11,Back Problems,2023-04
Professionally qualified clinical staff,S28 Injury fracture,4.6,S28,Injury fracture,2023-04
Professionally qualified clinical staff,S30 Pregnancy related disorders,4.6,S30,Pregnancy related disorders,2023-04
NHS infrastructure support,S11 Back Problems,4.5,S11,Back Problems,2023-04
Consultant,S25 Gastrointestinal problems,4.5,S25,Gastrointestinal problems,2023-04
Midwives,S27 Infectious diseases,4.5,S27,Infectious diseases,2023-04
Support to clinical staff,S27 Infectious diseases,4.5,S27,Infectious diseases,2023-04
Specialty Doctor,S28 Injury fracture,4.5,S28,Injury fracture,2023-04
Consultant,S15 Chest & respiratory problems,4.4,S15,Chest & respiratory problems,2023-04
"Support to doctors, nurses & midwives",S27 Infectious diseases,4.4,S27,Infectious diseases,2023-04
Senior managers,S28 Injury fracture,4.4,S28,Injury fracture,2023-04
Managers,S99 Unknown causes / Not specified,4.4,S99,Unknown causes / Not specified,2023-04
Managers,S15 Chest & respiratory problems,4.3,S15,Chest & respiratory problems,2023-04
Specialty Doctor,S25 Gastrointestinal problems,4.3,S25,Gastrointestinal problems,2023-04
Nurses & health visitors,S28 Injury fracture,4.3,S28,Injury fracture,2023-04
All staff groups,S11 Back Problems,4.2,S11,Back Problems,2023-04
Support to ST&T staff,S11 Back Problems,4.2,S11,Back Problems,2023-04
"Scientific, therapeutic & technical staff",S28 Injury fracture,4.2,S28,Injury fracture,2023-04
Specialty Registrar,S30 Pregnancy related disorders,4.2,S30,Pregnancy related disorders,2023-04
Other staff or those with unknown classification,S11 Back Problems,4.1,S11,Back Problems,2023-04
NHS infrastructure support,S17 Benign and malignant tumours cancers,4.1,S17,Benign and malignant tumours cancers,2023-04
Other staff or those with unknown classification,S28 Injury fracture,4.1,S28,Injury fracture,2023-04
Associate Specialist,S99 Unknown causes / Not specified,4.1,S99,Unknown causes / Not specified,2023-04
Nurses & health visitors,S11 Back Problems,4,S11,Back Problems,2023-04
Specialty Doctor,S17 Benign and malignant tumours cancers,4,S17,Benign and malignant tumours cancers,2023-04
Specialty Doctor,S19 Heart cardiac & circulatory problems,4,S19,Heart cardiac & circulatory problems,2023-04
Staff Grade,S24 Endocrine / glandular problems,4,S24,Endocrine / glandular problems,2023-04
Ambulance staff,S99 Unknown causes / Not specified,4,S99,Unknown causes / Not specified,2023-04
Foundation Doctor Year 2,S15 Chest & respiratory problems,3.9,S15,Chest & respiratory problems,2023-04
Central functions,S17 Benign and malignant tumours cancers,3.9,S17,Benign and malignant tumours cancers,2023-04
Midwives,S28 Injury fracture,3.9,S28,Injury fracture,2023-04
Professionally qualified clinical staff,S11 Back Problems,3.8,S11,Back Problems,2023-04
HCHS doctors,S17 Benign and malignant tumours cancers,3.8,S17,Benign and malignant tumours cancers,2023-04
Consultant,S19 Heart cardiac & circulatory problems,3.8,S19,Heart cardiac & circulatory problems,2023-04
Other and Local HCHS Doctor Grades,S19 Heart cardiac & circulatory problems,3.8,S19,Heart cardiac & circulatory problems,2023-04
Specialty Doctor,S27 Infectious diseases,3.8,S27,Infectious diseases,2023-04
Associate Specialist,S29 Nervous system disorders,3.8,S29,Nervous system disorders,2023-04
Senior managers,S99 Unknown causes / Not specified,3.8,S99,Unknown causes / Not specified,2023-04
"Hotel, property & estates",S17 Benign and malignant tumours cancers,3.7,S17,Benign and malignant tumours cancers,2023-04
Other and Local HCHS Doctor Grades,S21 Ear nose throat (ENT),3.7,S21,Ear nose throat (ENT),2023-04
"Scientific, therapeutic & technical staff",S17 Benign and malignant tumours cancers,3.6,S17,Benign and malignant tumours cancers,2023-04
"Hotel, property & estates",S19 Heart cardiac & circulatory problems,3.6,S19,Heart cardiac & circulatory problems,2023-04
Nurses & health visitors,S26 Genitourinary & gynaecological disorders,3.6,S26,Genitourinary & gynaecological disorders,2023-04
"Hotel, property & estates",S27 Infectious diseases,3.6,S27,Infectious diseases,2023-04
Managers,S27 Infectious diseases,3.6,S27,Infectious diseases,2023-04
Associate Specialist,S28 Injury fracture,3.6,S28,Injury fracture,2023-04
Core Training,S30 Pregnancy related disorders,3.6,S30,Pregnancy related disorders,2023-04
Associate Specialist,S23 Eye problems,3.5,S23,Eye problems,2023-04
Associate Specialist,S25 Gastrointestinal problems,3.5,S25,Gastrointestinal problems,2023-04
Hospital Practitioner / Clinical Assistant,S17 Benign and malignant tumours cancers,3.4,S17,Benign and malignant tumours cancers,2023-04
Other and Local HCHS Doctor Grades,S17 Benign and malignant tumours cancers,3.4,S17,Benign and malignant tumours cancers,2023-04
Professionally qualified clinical staff,S26 Genitourinary & gynaecological disorders,3.4,S26,Genitourinary & gynaecological disorders,2023-04
Support to ST&T staff,S26 Genitourinary & gynaecological disorders,3.4,S26,Genitourinary & gynaecological disorders,2023-04
NHS infrastructure support,S27 Infectious diseases,3.4,S27,Infectious diseases,2023-04
Central functions,S28 Injury fracture,3.4,S28,Injury fracture,2023-04
"Scientific, therapeutic & technical staff",S30 Pregnancy related disorders,3.4,S30,Pregnancy related disorders,2023-04
NHS infrastructure support,S99 Unknown causes / Not specified,3.4,S99,Unknown causes / Not specified,2023-04
"Hotel, property & estates",S99 Unknown causes / Not specified,3.4,S99,Unknown causes / Not specified,2023-04
Hospital Practitioner / Clinical Assistant,S12 Other musculoskeletal problems,3.3,S12,Other musculoskeletal problems,2023-04
Managers,S19 Heart cardiac & circulatory problems,3.3,S19,Heart cardiac & circulatory problems,2023-04
Staff Grade,S23 Eye problems,3.3,S23,Eye problems,2023-04
"Scientific, therapeutic & technical staff",S26 Genitourinary & gynaecological disorders,3.3,S26,Genitourinary & gynaecological disorders,2023-04
"Support to doctors, nurses & midwives",S26 Genitourinary & gynaecological disorders,3.3,S26,Genitourinary & gynaecological disorders,2023-04
Central functions,S27 Infectious diseases,3.3,S27,Infectious diseases,2023-04
Foundation Doctor Year 2,S30 Pregnancy related disorders,3.3,S30,Pregnancy related disorders,2023-04
Central functions,S99 Unknown causes / Not specified,3.3,S99,Unknown causes / Not specified,2023-04
Midwives,S11 Back Problems,3.2,S11,Back Problems,2023-04
Central functions,S11 Back Problems,3.2,S11,Back Problems,2023-04
Specialty Registrar,S12 Other musculoskeletal problems,3.2,S12,Other musculoskeletal problems,2023-04
Other and Local HCHS Doctor Grades,S15 Chest & respiratory problems,3.2,S15,Chest & respiratory problems,2023-04
All staff groups,S26 Genitourinary & gynaecological disorders,3.2,S26,Genitourinary & gynaecological disorders,2023-04
Support to clinical staff,S26 Genitourinary & gynaecological disorders,3.2,S26,Genitourinary & gynaecological disorders,2023-04
Managers,S28 Injury fracture,3.2,S28,Injury fracture,2023-04
All staff groups,S30 Pregnancy related disorders,3.2,S30,Pregnancy related disorders,2023-04
Other staff or those with unknown classification,S26 Genitourinary & gynaecological disorders,3.1,S26,Genitourinary & gynaecological disorders,2023-04
Hospital Practitioner / Clinical Assistant,S99 Unknown causes / Not specified,3.1,S99,Unknown causes / Not specified,2023-04
Core Training,S12 Other musculoskeletal problems,3,S12,Other musculoskeletal problems,2023-04
Core Training,S16 Headache / migraine,3,S16,Headache / migraine,2023-04
